"to","from","search","tele"
"GBR","BGR",0,0
"GBR","HRV",0,0
"GBR","CYP",0,0
"GBR","CZE",0,0
"GBR","DNK",0,3
"GBR","EST",0,0
"GBR","FIN",0,0
"GBR","FRA",0,0
"GBR","GEO",0,0
"GBR","DEU",0,1
"GBR","GRC",0,0
"GBR","HUN",0,0
"GBR","ISL",0,0
"GBR","IRL",3,10
"GBR","ISR",0,0
"GBR","ITA",0,0
"GBR","LVA",0,0
"GBR","LTU",0,0
"GBR","MLT",0,1
"GBR","MDA",0,0
"GBR","MNE",0,0
"GBR","NLD",0,0
"GBR","MKD",0,0
"GBR","NOR",0,0
"GBR","POL",0,0
"GBR","PRT",0,0
"GBR","ROU",0,0
"GBR","RUS",0,0
"GBR","SMR",0,1
"GBR","SRB",0,0
"GBR","SVN",0,0
"GBR","ESP",0,0
"GBR","SWE",0,0
"GBR","CHE",0,0
"GBR","UKR",0,0
"GBR","GBR",0,0
